,,,Spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Date,,,Ticker:,EPGALP,Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/12/31,00:00:00,,"Security Name 1:","EPEX  Germany LowDay Ahead Hou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End_Date,,,"Security Name 2:","EPEX  Germany LowDay Ahead Hou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/04/07,"2014/04/07 16:53:50,530",,"Security Type:",Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Descr.:,"Electricity day ahead with delivery on the German/Austria TSO zone Underlying:  Electricity traded for delivery the following day in 24 hour intervals. <p>{ALLX EPIG<GO>} tracks trades made on an intraday basis for same-day delivery.  All trades made on a day-ahead basis are shown on {ALLX EPGA<GO>}.  On a given day, d, the trades captured by {ALLX EPIG<GO>} are comparable to trades captured by {ALLX EPGA<GO>} on d-1 for the same time slots. <p>**A full 25 hour Excel template is needed when the clocks are set to winter time. Hour 3 and 3X can contain different values. When the time is switched to summer time the system automatically deletes the exceeding quantities for hour 3 (i.e. 2.00 am to 3.00am) <p>The daily auction takes place at 12.00 pm, 7 days a week, year-round, including statutory holidaysDeliveries are made within either of the following TSOs zones (Amprion GmbH,Tennet TSO GmbH,50Hertz Transmission GmbH,EnBW Transportnetze, Austrian Power Grid).<p>Volume data is available on HP page of the ticker.<p>{http://www.epexspot.com/en/product-info/auction/germany-austria} <p>The volume weighted average price for each hourly slot can be calculated by weighting all trades on a given intraday ticker and the corresponding day-ahead ticker on d-1<p>Bid and Ask values store buy and sell volume respectively. Mid prices store electricity prices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last price",last_price,,Units:,EUR/mwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"#N/A Field Not Applicable ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Currency:,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"#N/A Field Not Applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"#N/A Field Not Applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"#N/A Field Not Applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"#N/A Field Not Applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"#N/A Field Not Applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Last Update:",06.04.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hours:,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,00
,,,Date,"EPGALP01 Index",Date,"EPGALP02 Index",Date,"EPGALP03 Index",Date,"EPGALP04 Index",Date,"EPGALP05 Index",Date,"EPGALP06 Index",Date,"EPGALP07 Index",Date,"EPGALP08 Index",Date,"EPGALP09 Index",Date,"EPGALP10 Index",Date,"EPGALP11 Index",Date,"EPGALP12 Index",Date,"EPGALP13 Index",Date,"EPGALP14 Index",Date,"EPGALP15 Index",Date,"EPGALP16 Index",Date,"EPGALP17 Index",Date,"EPGALP18 Index",Date,"EPGALP19 Index",Date,"EPGALP20 Index",Date,"EPGALP21 Index",Date,"EPGALP22 Index",Date,"EPGALP23 Index",Date,"EPGALP24 Index",Date,"EPGALP00 Index"
