"pid","wage","sex","age","hours","sector"
"1",1,16000,0,53,1724,2
"2",2,60000,1,51,2187,7
"3",3,19000,1,47,1608,7
"4",4,52000,1,45,2380,5
"5",5,28500,0,30,1900,0
"6",6,19200,0,29,1960,4
"7",7,34000,0,28,2244,3
"8",8,67600,1,26,2695,7
"9",9,15600,0,18,1560,0
"10",10,17000,1,38,1820,7
"11",11,27000,0,32,2860,0
"12",12,15000,0,28,2600,3
"13",13,34000,0,42,2058,4
"14",14,22236,0,38,2000,4
"15",15,10000,0,22,2269,1
"16",16,10000,1,20,1500,0
"17",17,12760,0,28,1832,4
"18",18,6000,1,21,1004,4
"19",19,19400,1,56,1680,7
"20",20,85000,0,50,3250,7
"21",21,47600,1,32,1039,7
"22",22,31000,0,24,2080,7
"23",23,27000,0,60,1960,3
"24",24,13100,1,49,1056,7
"25",25,13000,1,49,2080,7
"26",26,4326,1,33,2080,7
"27",27,25000,0,31,3715,4
"28",28,36000,0,30,2180,4
"29",29,25000,1,30,2860,7
"30",30,26400,0,28,2626,7
"31",31,20163,0,24,2295,5
"32",32,32000,0,21,208,7
"33",33,30000,1,51,3251,7
"34",34,10176,0,35,1920,7
"35",35,15000,1,24,2452,7
"36",36,6000,0,29,818,7
"37",37,4930,1,41,696,0
"38",38,25000,0,39,2072,7
"39",39,10000,0,58,2070,0
"40",40,97000,1,34,1839,4
"41",41,7500,0,29,1574,4
"42",42,50000,1,41,2600,7
"43",43,51000,0,38,2187,4
"44",44,61000,0,52,2241,1
"45",45,5000,1,55,2080,0
"46",46,20000,1,22,1560,7
"47",47,185072,0,56,1297,0
"48",48,28750,0,51,2132,1
"49",49,21000,1,48,758,0
"50",50,47058,0,41,1672,5
"51",51,25000,1,38,1902,7
"52",52,56800,0,43,2030,7
"53",53,10000,1,43,880,0
"54",54,36000,1,38,2040,7
"55",55,17000,1,21,1520,4
"56",56,42000,0,46,2250,7
"57",57,14000,0,31,2017,7
"58",58,28000,0,25,3120,3
"59",59,20000,0,25,1524,2
"60",60,49832,0,48,3640,5
"61",61,75000,0,51,2600,3
"62",62,11480,0,52,776,0
"63",63,49000,0,57,2892,3
"64",64,65000,0,32,3350,1
"65",65,42000,0,31,2580,3
"66",66,67000,1,25,1416,6
"67",67,3000,1,24,683,0
"68",68,87500,1,51,1960,7
"69",69,56000,0,33,2295,7
"70",70,7000,1,36,2080,1
"71",71,125000,0,52,2080,3
"72",72,45000,1,51,1976,6
"73",73,7200,0,53,2937,0
"74",74,11908,1,22,2071,7
"75",75,16000,1,47,1613,7
"76",76,25000,0,40,2048,0
"77",77,39000,1,39,1856,6
"78",78,60000,1,31,1874,7
"79",79,85000,1,55,2232,7
"80",80,85000,1,35,2124,4
"81",81,38000,0,34,2080,4
"82",82,49000,1,58,2000,6
"83",83,48000,0,59,2223,7
"84",84,43000,1,58,2470,7
"85",85,5500,0,60,3432,4
"86",86,15298,1,57,2925,4
"87",87,10000,1,37,1548,4
"88",88,39000,0,34,2490,7
"89",89,3e+05,0,33,1560,7
"90",90,16000,1,35,1982,7
"91",91,1825,1,32,1488,2
"92",92,50000,0,45,2500,5
"93",93,6000,1,43,900,0
"94",94,80000,1,42,2000,7
"95",95,34000,1,34,2750,4
"96",96,41000,1,25,2254,7
"97",97,28000,1,23,2088,7
"98",98,618,1,24,120,4
"99",99,24000,0,22,1692,4
"100",100,30000,1,44,1954,7
"101",101,76000,0,35,2024,3
"102",102,53000,0,35,2684,4
"103",103,26300,0,33,3350,3
"104",104,28000,1,37,1646,7
"105",105,27000,0,27,1350,4
"106",106,34000,1,38,2056,7
"107",107,23920,1,43,2160,7
"108",108,16000,1,27,2100,6
"109",109,27000,0,25,1785,4
"110",110,19000,1,46,1040,7
"111",111,32000,0,24,2088,7
"112",112,4500,0,21,640,0
"113",113,21840,0,44,2209,4
"114",114,22000,1,24,2440,0
"115",115,2500,1,22,160,7
"116",116,19000,1,21,2080,7
"117",117,32000,0,29,2530,2
"118",118,25000,1,24,2040,7
"119",119,42200,0,25,1912,7
"120",120,19000,1,26,1360,7
"121",121,17000,1,49,2040,6
"122",122,30000,1,31,1880,6
"123",123,10000,1,27,1384,7
"124",124,20000,0,49,2040,5
